"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-06","Jun-2018","PC","Percentage","0","Units",,,65.58254,,
"USA","United States","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-07","Jul-2018","PC","Percentage","0","Units",,,65.79704,,
"USA","United States","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-08","Aug-2018","PC","Percentage","0","Units",,,65.48029,,
"USA","United States","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,65.7402,,
"USA","United States","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,65.97901,,
"USA","United States","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,65.83936,,
"USA","United States","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,66.07769,,
"USA","United States","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,66.04398,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-01","Jan-2016","PC","Percentage","0","Units",,,74.59505,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-02","Feb-2016","PC","Percentage","0","Units",,,74.78866,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-03","Mar-2016","PC","Percentage","0","Units",,,74.8019,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-04","Apr-2016","PC","Percentage","0","Units",,,74.6529,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-05","May-2016","PC","Percentage","0","Units",,,74.715,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-06","Jun-2016","PC","Percentage","0","Units",,,74.86909,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-07","Jul-2016","PC","Percentage","0","Units",,,74.78873,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-08","Aug-2016","PC","Percentage","0","Units",,,74.93096,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-09","Sep-2016","PC","Percentage","0","Units",,,74.87371,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-10","Oct-2016","PC","Percentage","0","Units",,,74.8725,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-11","Nov-2016","PC","Percentage","0","Units",,,75.01524,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-12","Dec-2016","PC","Percentage","0","Units",,,75.03291,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,75.17329,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-02","Feb-2017","PC","Percentage","0","Units",,,75.10329,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-03","Mar-2017","PC","Percentage","0","Units",,,75.17853,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,75.47026,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,75.37952,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,75.45502,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,75.38754,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-08","Aug-2017","PC","Percentage","0","Units",,,75.4278,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-09","Sep-2017","PC","Percentage","0","Units",,,75.78501,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-10","Oct-2017","PC","Percentage","0","Units",,,75.69755,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-11","Nov-2017","PC","Percentage","0","Units",,,75.52975,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-12","Dec-2017","PC","Percentage","0","Units",,,75.75493,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-01","Jan-2018","PC","Percentage","0","Units",,,75.83554,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-02","Feb-2018","PC","Percentage","0","Units",,,76.21358,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-03","Mar-2018","PC","Percentage","0","Units",,,76.14015,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-04","Apr-2018","PC","Percentage","0","Units",,,76.13716,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-05","May-2018","PC","Percentage","0","Units",,,76.17951,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-06","Jun-2018","PC","Percentage","0","Units",,,75.93904,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-07","Jul-2018","PC","Percentage","0","Units",,,76.02393,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-08","Aug-2018","PC","Percentage","0","Units",,,75.87639,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,75.9206,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,76.13223,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,76.32844,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,76.07215,,
"USA","United States","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,76.21082,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-01","Jan-2016","PC","Percentage","0","Units",,,69.19092,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-02","Feb-2016","PC","Percentage","0","Units",,,69.29377,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-03","Mar-2016","PC","Percentage","0","Units",,,69.32307,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-04","Apr-2016","PC","Percentage","0","Units",,,69.16882,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-05","May-2016","PC","Percentage","0","Units",,,69.27267,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-06","Jun-2016","PC","Percentage","0","Units",,,69.2077,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-07","Jul-2016","PC","Percentage","0","Units",,,69.28469,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-08","Aug-2016","PC","Percentage","0","Units",,,69.4048,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-09","Sep-2016","PC","Percentage","0","Units",,,69.43314,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-10","Oct-2016","PC","Percentage","0","Units",,,69.45699,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-11","Nov-2016","PC","Percentage","0","Units",,,69.55529,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2016-12","Dec-2016","PC","Percentage","0","Units",,,69.5775,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,69.65945,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-02","Feb-2017","PC","Percentage","0","Units",,,69.76285,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-03","Mar-2017","PC","Percentage","0","Units",,,70.03338,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,70.09789,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,69.97665,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,70.09774,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,70.15578,,
"USA","United States","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2017-08","Aug-2017","PC","Percentage","0","Units",,,70.17014,,
